Unique_ID,Sample,Type,Site,LTER_Site,Depth,Replicate,Core,Date,Group,Group_2,Group_3,Environment,perc_OM,d15N,perc_OrgN,d13C,perc_OrgC,C/N,Lambda,Sigma8,S,V,C,P,S/V,C/V,P/(V+S),Bd/V,Ac/Ads,Ac/Adv,Cumulative_3.900um,Cumulative_31.000um,Cumulative_62.500um,Cumulative_125.000um,Diameter_5.00%,Diameter_7.00%,Diameter_10.00%,Diameter_16.00%,Diameter_50.00%,Diameter_84.00%,Diameter_90.00%,Diameter_95.00%,Diameter_98.00%,perc_Clay,perc_Silt,perc_Sand
403,640M,MarineRunoff,ABUR,ABUR,20,3,T,6/13/17,J,M,3,Reef,1.96,3.69,0.07,-24.13,1.13,16.08,0.85,0.95,0.5,0.32,0.02,0.13,1.55,0.07,0.16,0.25,0.25,0.16,4.17,19.07,38.06,87.81,NA,7.81,NA,24.01,74.43,NA,130.92,149.87,171.2,4.17,33.88,61.94
404,641M,MarineRunoff,ABUR,ABUR,20,3,B,6/13/17,J,M,3,Reef,1.74,3.22,0.05,-24.13,0.69,14.04,0.93,0.64,0.58,0.32,0.02,0.07,1.81,0.08,0.08,0.41,0,0.2,4.42,18.44,34.06,84.77,NA,7.42,NA,24.65,79.56,NA,138.11,157.2,177.78,4.42,29.64,65.94
405,642M,MarineRunoff,ABUR,ABUR,20,2,B,6/13/17,J,M,3,Reef,2.8,3.56,0.05,-24.38,0.88,16.88,1.16,1.02,0.8,0.34,0.02,0.06,2.37,0.06,0.05,0.31,0.26,0.16,4.2,17.97,32.6,83.5,NA,7.88,NA,25.6,81.3,NA,141.28,161.42,183.71,4.2,28.4,67.4
406,643M,MarineRunoff,ABUR,ABUR,20,2,T,6/13/17,J,M,3,Reef,1.27,3.53,0.05,-23.38,0.59,12.43,1.11,0.66,0.73,0.36,0.02,0.07,2,0.05,0.06,0.31,NA,0.14,3.79,15.57,31.73,85.71,NA,9.74,NA,32.72,80.08,NA,135.83,154.56,175.2,3.79,27.95,68.27
407,644M,MarineRunoff,ABUR,ABUR,20,1,B,6/13/17,J,M,3,Reef,1.91,3.82,0.05,-23.64,0.81,15.03,1.75,1.42,1.22,0.5,0.02,0.07,2.43,0.05,0.04,0.21,0.3,0.16,5.05,21.06,38.26,86.83,NA,6.08,NA,20.19,75.21,NA,133.53,152.59,173.8,5.05,33.21,61.74
408,645M,MarineRunoff,ABUR,ABUR,20,1,T,6/13/17,J,M,3,Reef,1.58,3.07,0.04,-22.72,0.41,9.84,1.55,0.64,1.04,0.46,0.04,0.09,2.24,0.09,0.06,0.27,0.34,0.17,3.82,16.31,33.52,87.2,NA,9.5,NA,30.02,78.02,NA,132.24,150.5,171.31,3.82,29.69,66.48
409,601M,MarineRunoff,GOLB,GOLB,10,2,T,6/13/17,J,M,2,Reef,0.59,5.25,0.02,-19.16,0.13,6.2,0.42,0.06,0.29,0.1,0.02,NA,2.81,0.18,NA,NA,NA,0.19,0,0,7.51,50.08,NA,61.39,NA,75.47,124.95,NA,343.07,411.91,473.21,0,7.51,92.49
410,603M,MarineRunoff,GOLB,GOLB,10,1,T,6/13/17,J,M,2,Reef,0.48,12.21,0.02,-18.91,0.12,6.44,0.55,0.07,0.34,0.13,0.08,0.1,2.54,0.61,0.21,NA,NA,0.29,0,0,6.21,43.78,NA,63.95,NA,79.09,138.75,NA,381.06,441.55,486.51,0,6.21,93.79
411,604M,MarineRunoff,GOLB,GOLB,10,3,T,6/13/17,J,M,2,Reef,0.58,2.88,0.02,-19.23,0.13,6.97,0.69,0.09,0.46,0.21,0.03,NA,2.17,0.12,NA,NA,NA,0.35,0,0,7.89,49.2,NA,60.56,NA,75.18,126.5,NA,344.38,412.34,473.44,0,7.89,92.11
412,605M,MarineRunoff,GOLB,GOLB,10,4,B,6/13/17,J,M,2,Reef,0.53,8.92,0.02,-22.72,0.22,10.42,3.97,0.86,2.1,1.68,0.19,0.15,1.25,0.12,0.04,0.22,0.28,0.2,2.38,9.59,15.93,42.5,NA,19.34,NA,62.57,144.7,NA,382.78,442.52,486.96,2.38,13.55,84.07
413,606M,MarineRunoff,GOLB,GOLB,10,3,B,6/13/17,J,M,2,Reef,0.59,9.84,0.02,-19.84,0.15,7.83,1.6,0.24,1.22,0.35,0.03,NA,3.49,0.1,NA,NA,0.22,0.15,0.34,6.27,13.3,47.31,NA,38.79,NA,67.71,131.18,NA,374.96,436.94,484.49,0.34,12.96,86.7
414,607M,MarineRunoff,GOLB,GOLB,10,4,T,6/13/17,J,M,2,Reef,0.7,3.3,0.02,-20.59,0.16,7.63,1.81,0.29,1.43,0.35,0.03,NA,4.11,0.09,NA,0.41,0.19,0.17,0,0,8.41,52.28,NA,59.75,NA,73.48,121.02,NA,338.08,407.88,471.33,0,8.41,91.59
415,609M,MarineRunoff,GOLB,GOLB,10,2,B,6/13/17,J,M,2,Reef,0.54,4.12,0.02,-20.8,0.13,6.82,2.31,0.3,1.77,0.47,0.07,0.1,3.75,0.16,0.05,0.42,0.23,0.12,2.23,8.98,15.8,48.78,NA,21.21,NA,62.78,128.05,NA,364.98,429.28,481.06,2.23,13.57,84.2
416,611M,MarineRunoff,GOLB,GOLB,10,1,B,6/13/17,J,M,2,Reef,0.48,0.55,0.02,-22.02,0.14,7.45,1.16,0.16,0.83,0.31,0.02,NA,2.64,0.05,NA,0.4,0.23,0.12,0.33,6.01,12.4,44.68,NA,40.98,NA,70.47,137.16,NA,373.55,435.63,483.9,0.33,12.07,87.6
417,660M,MarineRunoff,GOLB,GOLB,20,4,T,6/13/17,J,M,2,Reef,0.88,4.46,0.03,-22.6,0.34,10.02,1.97,0.67,1.39,0.55,0.03,0.1,2.52,0.06,0.05,0.24,0.29,0.15,3.09,11.81,19.22,50.46,NA,12.86,NA,52.27,124.13,NA,241.57,301.35,389.55,3.09,16.13,80.78
418,663M,MarineRunoff,GOLB,GOLB,20,4,B,6/13/17,J,M,2,Reef,0.79,4.91,0.03,-22.34,0.29,9.24,1.08,0.32,0.76,0.3,0.02,0.08,2.58,0.07,0.08,0.24,0.29,0.17,3.2,12.23,19.95,50.71,NA,12.22,NA,49.67,123.63,NA,241.91,303.86,388.45,3.2,16.75,80.05
419,664M,MarineRunoff,GOLB,GOLB,20,3,B,6/13/17,J,M,2,Reef,0.77,3.99,0.03,-23.25,0.29,10.1,1.1,0.32,0.74,0.34,0.02,0.08,2.18,0.06,0.07,0.36,0.32,0.16,2.72,11.23,18.55,48.18,NA,14.09,NA,54.05,128.26,NA,245.81,306.57,391.9,2.72,15.84,81.45
420,665M,MarineRunoff,GOLB,GOLB,20,3,T,6/13/17,J,M,2,Reef,1.07,2.58,0.03,-23.19,0.33,9.78,1.22,0.4,0.8,0.4,0.02,0.07,2.02,0.06,0.06,0.22,0.31,0.17,3.06,11.97,19.67,52.25,NA,12.83,NA,51.29,120.92,NA,238.37,297.52,387.46,3.06,16.62,80.33
421,666M,MarineRunoff,GOLB,GOLB,20,1,T,6/13/17,J,M,2,Reef,0.79,5.31,0.04,-23.47,0.39,10.04,1.08,0.43,0.62,0.44,0.02,0.08,1.43,0.05,0.08,0.26,NA,0.16,3.05,11.86,19.74,55.57,NA,13.21,NA,52.4,115.41,NA,229.04,287.54,378.3,3.05,16.69,80.26
422,667M,MarineRunoff,GOLB,GOLB,20,2,B,6/13/17,J,M,2,Reef,0.89,2.99,0.03,-23.17,0.29,9.52,1.57,0.45,1.06,0.49,0.03,0.12,2.18,0.07,0.07,0.28,0.24,0.16,2.99,11.23,18.38,49.89,NA,14.08,NA,54.89,125.16,NA,240.34,298.9,385.71,2.99,15.39,81.62
423,668M,MarineRunoff,GOLB,GOLB,20,1,B,6/13/17,J,M,2,Reef,0.75,3.97,0.03,-22.79,0.33,10.1,1.3,0.43,0.87,0.41,0.02,0.1,2.11,0.05,0.08,0.31,0.29,0.16,2.92,12.21,20.3,51.08,NA,12.9,NA,48.94,122.95,NA,243.47,307.36,394.36,2.92,17.38,79.7
424,669M,MarineRunoff,GOLB,GOLB,20,2,T,6/13/17,J,M,2,Reef,0.99,4.44,0.04,-22.22,0.29,8.1,1.58,0.46,1.07,0.49,0.02,0.2,2.2,0.04,0.13,0.22,NA,0.18,3.32,12.93,21.21,54.79,NA,11.18,NA,46.89,116.39,NA,231.43,288.57,377.64,3.32,17.89,78.79
425,676M,MarineRunoff,MICR,MICR,10,2,B,6/13/17,J,M,3,Reef,0.51,1.93,0.01,-23.2,0.12,11.18,1.4,0.17,0.89,0.46,0.04,NA,1.93,0.09,NA,0.36,NA,0.14,1.77,7.72,12.54,21.68,NA,26.62,NA,85.71,275.25,NA,448.57,482.5,520.24,1.77,10.77,87.46
426,677M,MarineRunoff,MICR,MICR,10,3,T,6/13/17,J,M,3,Reef,0.6,3.39,0.02,-23.03,0.23,11.89,1.9,0.43,1.36,0.49,0.05,0.1,2.8,0.11,0.06,0.4,0.27,0.15,1.4,6.16,11.81,22.41,NA,37.4,NA,82.76,276.2,NA,448.86,482.66,520.62,1.4,10.42,88.19
427,678M,MarineRunoff,MICR,MICR,10,2,T,6/13/17,J,M,3,Reef,0.55,2.88,0.02,-23.51,0.2,12.97,1.91,0.39,1.32,0.55,0.04,0.11,2.41,0.07,0.06,0.35,0.31,0.17,1.99,7.66,12.49,19.63,NA,26.93,NA,87.51,384.49,NA,726.02,841.47,980.23,1.99,10.5,87.51
428,679M,MarineRunoff,MICR,MICR,10,3,B,6/13/17,J,M,3,Reef,1.09,3.99,0.03,-24.31,0.47,16.29,2.46,1.16,1.67,0.76,0.03,0.09,2.2,0.05,0.04,0.23,0.29,0.15,3.95,20.21,36.93,55.9,NA,7.71,NA,21.69,93.4,NA,402.31,456.67,493.09,3.95,32.98,63.07
429,680M,MarineRunoff,MICR,MICR,10,1,T,6/13/17,J,M,3,Reef,0.94,2.97,0.02,-24.71,0.32,15.03,3.75,1.21,2.67,1.04,0.05,0.12,2.58,0.05,0.03,0.2,0.25,0.14,11.53,56.98,80.3,94.57,NA,2.72,NA,5.36,23.4,NA,95.74,139.18,200.23,11.53,68.77,19.7
430,681M,MarineRunoff,MICR,MICR,10,1,B,6/13/17,J,M,3,Reef,1.5,1.88,0.03,-25.43,0.57,20.27,3.48,1.98,2.16,1.25,0.06,0.29,1.72,0.05,0.08,0.17,0.32,0.14,7.75,49.47,74.18,92.2,NA,3.6,NA,7.82,31.47,NA,112.42,169.55,272.2,7.75,66.43,25.82
431,682M,MarineRunoff,MICR,MICR,10,4,T,6/13/17,J,M,3,Reef,0.62,1.4,0.01,-24.77,0.2,14.6,2.24,0.46,1.59,0.62,0.03,0.1,2.57,0.05,0.04,0.3,0.29,0.16,10.48,57.34,83.9,98.53,NA,2.85,NA,5.95,23.78,NA,77.4,97.11,119.31,10.48,73.42,16.1
432,683M,MarineRunoff,MICR,MICR,10,4,B,6/13/17,J,M,3,Reef,0.9,2.88,0.03,-24.64,0.5,16.99,2.25,1.13,1.56,0.65,0.03,0.11,2.39,0.05,0.05,0.24,0.35,0.18,3.36,15.63,29,46.13,NA,10.42,NA,32.24,163.88,NA,423.17,468.61,498.93,3.36,25.64,71
433,684M,MarineRunoff,MICR,MICR,20,4,T,6/13/17,J,M,3,Reef,0.7,4.03,0.02,-22.65,0.22,9.68,0.66,0.15,0.43,0.2,0.03,0.06,2.14,0.13,0.1,NA,NA,0.18,5.7,23.65,30.48,39.13,NA,4.79,NA,12.7,173.91,NA,407.81,460.05,494.56,5.7,24.79,69.52
434,686M,MarineRunoff,MICR,MICR,20,3,T,6/13/17,J,M,3,Reef,0.99,1.48,0.04,-22.74,0.4,10,0.82,0.33,0.6,0.19,0.02,NA,3.12,0.12,NA,0.33,0.23,0.17,7.32,27.88,36.05,45.39,NA,3.75,NA,10.04,145.81,NA,393.73,450.76,490.54,7.32,28.73,63.95
435,687M,MarineRunoff,MICR,MICR,20,2,B,6/13/17,J,M,3,Reef,1.86,4.72,0.07,-22.72,0.72,10.29,1.26,0.9,0.92,0.32,0.03,0.08,2.93,0.08,0.06,0.31,0.29,0.19,11.83,49.02,62.31,70.4,NA,2.66,NA,5.25,32.66,NA,310.83,389.7,460.15,11.83,50.49,37.69
436,690M,MarineRunoff,MICR,MICR,20,1,B,6/13/17,J,M,3,Reef,1.31,2.33,0.05,-22.84,0.49,9.8,0.9,0.44,0.65,0.24,0.02,0.05,2.75,0.08,0.06,NA,0.27,0.19,10.91,42.72,54.55,62.22,NA,2.76,NA,5.93,47.5,NA,349.27,415.93,474.94,10.91,43.64,45.45
437,692M,MarineRunoff,MICR,MICR,20,1,T,6/13/17,J,M,3,Reef,1,2.26,0.03,-22.4,0.29,9.67,0.79,0.23,0.57,0.2,0.03,0.07,2.86,0.14,0.09,NA,0.25,0.21,19.14,85.22,99.69,100,NA,2.03,NA,3.37,10.3,NA,36.97,44.6,51.87,19.14,80.55,0.31
438,693M,MarineRunoff,MICR,MICR,20,4,B,6/13/17,J,M,3,Reef,1.44,3.35,0.05,-22.72,0.48,9.6,0.96,0.46,0.69,0.24,0.02,NA,2.85,0.08,NA,0.39,0.29,0.23,11.44,44.25,56.26,64.28,NA,2.66,NA,5.55,42.36,NA,337.6,406.9,470.57,11.44,44.82,43.74
439,694M,MarineRunoff,MICR,MICR,20,3,B,6/13/17,J,M,3,Reef,1.24,3.24,0.04,-22.33,0.41,10.25,0.8,0.33,0.56,0.21,0.03,NA,2.68,0.14,NA,NA,0.33,0.2,7.62,29.55,37.88,47.06,NA,3.61,NA,9.16,137.98,NA,387.23,445.69,488.33,7.62,30.25,62.12
440,695M,MarineRunoff,MICR,MICR,20,2,T,6/13/17,J,M,3,Reef,0.84,1.66,0.03,-22.5,0.26,8.67,0.64,0.17,0.44,0.19,0.01,NA,2.3,0.07,NA,0.59,0.3,0.22,4.33,17.37,22.87,33,NA,6.67,NA,24.08,190.82,NA,414,463.52,496.04,4.33,18.54,77.13
441,624M,Marine,MOHK,MOHK,10,2,T,6/13/17,J,N,3,Reef,0.42,2.01,0.01,-19.99,0.1,7.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,65.55,92.06,100,NA,2.35,NA,4.35,16.05,NA,59.01,68.79,78.57,14.2,77.87,7.94
442,625M,Marine,MOHK,MOHK,10,4,B,6/13/17,J,N,3,Reef,0.57,1.57,0.02,-22.32,0.13,8.21,0.33,0.04,0.25,0.06,0.02,NA,4.43,0.37,NA,NA,NA,NA,0,0,0.59,21.23,NA,96.43,NA,115.5,173.72,NA,361.93,422.95,478.18,0,0.59,99.41
443,626M,Marine,MOHK,MOHK,10,1,T,6/13/17,J,N,3,Reef,0.45,1.11,0.02,-21.84,0.13,8.33,0.07,0.01,0.06,0.01,NA,NA,11.67,NA,NA,NA,NA,NA,13.51,69.46,98.32,100,NA,2.47,NA,4.53,15.42,NA,47.14,53.93,61.34,13.51,84.81,1.68
444,627M,Marine,MOHK,MOHK,10,2,B,6/13/17,J,N,3,Reef,0.54,2.09,0.01,-21.6,0.09,7.26,0.29,0.03,0.25,0.04,NA,NA,6.66,NA,NA,2.75,NA,NA,0,0,0.4,20.6,NA,98.22,NA,116.71,173.65,NA,357.62,418.6,476.18,0,0.4,99.6
445,628M,Marine,MOHK,MOHK,10,3,B,6/13/17,J,N,3,Reef,0.59,1.85,0.01,-21.82,0.1,7.37,0.08,0.01,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.71,24.35,NA,93.24,NA,111.54,164.75,NA,334.93,398.04,466.21,0,0.71,99.29
446,630M,Marine,MOHK,MOHK,10,1,B,6/13/17,J,N,3,Reef,0.7,2.73,0.02,-22.35,0.16,9.49,0.07,0.01,0.05,NA,0.02,NA,NA,NA,NA,NA,NA,NA,2.25,7.7,11.12,29.2,NA,26.37,NA,91.41,169.4,NA,379.95,439.67,485.69,2.25,8.87,88.88
447,631M,Marine,MOHK,MOHK,10,3,T,6/13/17,J,N,3,Reef,0.42,0.08,0.02,-22.3,0.12,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.86,64.46,90.99,99.9,NA,2.41,NA,4.46,17.4,NA,61.15,73.17,86.07,13.86,77.13,9.01
448,635M,Marine,MOHK,MOHK,10,4,T,6/13/17,J,N,3,Reef,0.47,1.76,0.01,-22.53,0.1,7.78,0.14,0.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,35.71,48.08,54.42,NA,3.48,NA,8.12,99.6,NA,400.44,455.28,492.45,8.1,39.98,51.92
449,733M,Marine,MOHK,MOHK,20,4,B,6/13/17,J,N,3,Reef,1.53,3.82,0.04,-22.89,0.57,14.25,1.78,1.02,1.3,0.43,0.05,0.11,2.99,0.11,0.06,0.21,0.23,0.18,3.25,13.86,22.3,57.96,NA,10.88,NA,41.88,110.54,NA,319.22,396.54,465.37,3.25,19.04,77.7
450,735M,Marine,MOHK,MOHK,20,3,T,6/13/17,J,N,3,Reef,1.24,2.34,0.04,-22.77,0.45,11.25,1.01,0.45,0.81,0.2,NA,NA,4.05,NA,NA,0.31,0.17,0.17,3.65,14.87,23.5,62.09,NA,9.36,NA,36.64,105.24,NA,239.19,329.09,421.99,3.65,19.85,76.5
451,738M,Marine,MOHK,MOHK,20,2,T,6/13/17,J,N,3,Reef,0.86,2.54,0.03,-23.03,0.33,11,1.53,0.5,1.05,0.42,0.05,ND,2.46,0.13,NA,0.18,0.27,0.18,3.47,14.24,22.3,55.78,NA,9.87,NA,40.11,113.78,NA,339.09,410.08,472.37,3.47,18.84,77.7
452,739M,Marine,MOHK,MOHK,20,3,B,6/13/17,J,N,3,Reef,1.32,2.7,0.05,-23.38,0.68,13.6,1.48,1.01,1,0.45,0.04,NA,2.21,0.08,NA,NA,0.26,0.15,14.61,65.45,88.85,99.2,NA,2.29,NA,4.25,16.71,NA,66.68,84.05,103.41,14.61,74.24,11.15
453,740M,Marine,MOHK,MOHK,20,1,T,6/13/17,J,N,3,Reef,1.27,2.41,0.04,-23.38,0.56,14,1.85,1.04,1.3,0.52,0.03,0.1,2.5,0.06,0.05,NA,0.27,0.15,4.55,20.13,33.32,72.46,NA,6.71,NA,20.89,87.31,NA,195.45,284.52,396.16,4.55,28.77,66.68
454,741M,Marine,MOHK,MOHK,20,1,B,6/13/17,J,N,3,Reef,1.55,1,0.03,-23.31,0.46,15.33,4.41,2.03,3.09,1.25,0.08,0.16,2.47,0.06,0.04,0.13,0.13,0.15,19.75,81.61,98.49,100,NA,2,NA,3.29,10.92,NA,41.96,50.79,59.98,19.75,78.75,1.51
455,742M,Marine,MOHK,MOHK,20,4,T,6/13/17,J,N,3,Reef,1.4,2.94,0.04,-22.74,0.42,10.5,1.23,0.52,0.89,0.32,0.03,NA,2.79,0.09,NA,NA,0.26,0.2,3.49,15.25,25.17,64.21,NA,9.62,NA,34.23,101.69,NA,230.42,319.45,416.21,3.49,21.67,74.83
456,743M,Marine,MOHK,MOHK,20,2,B,6/13/17,J,N,3,Reef,1.45,1.25,0.04,-23.33,0.59,14.75,1.55,0.92,1.11,0.41,0.03,NA,2.68,0.08,NA,NA,0.23,0.2,23.53,86.8,99.71,100,NA,1.83,NA,2.88,9.29,NA,35.42,43.67,51.3,23.53,76.19,0.29
