Line,Sample_ID,mean_RFU,BF_cor,Conc,Site,Year,Sample_ID,Replicate,Treatment
2,Before2,277257.452,265048.584,0.920112082,MICR,2018,Before,2,Before
3,Black1,387753.196,375544.328,1.274117605,MICR,2018,Black,1,Control
4,Black2,396188.696,383979.828,1.301143203,MICR,2018,Black,2,Control
5,Blue1,366537.3533,354328.4853,1.20614643,MICR,2018,Blue,1,Control
6,Blue2,381020.046,368811.178,1.252545984,MICR,2018,Blue,2,Control
7,Green1,382632.302,370423.434,1.257711319,MICR,2018,Green,1,Control
8,Green2,407259.24,395050.372,1.336610938,MICR,2018,Green,2,Control
9,Orange1,452275.046,440066.178,1.480832275,MICR,2018,Orange,1,Experimental
10,Orange2,457108.958,444900.09,1.49631913,MICR,2018,Orange,2,Experimental
11,Pink1,807599.27,795390.402,2.61921764,MICR,2018,Pink,1,Experimental
12,Pink2,781802.634,769593.766,2.536570551,MICR,2018,Pink,2,Experimental
13,Purple1,376889.582,364680.714,1.239312831,MICR,2018,Purple,1,Control
14,Purple2,395450.696,383241.828,1.298778804,MICR,2018,Purple,2,Control
15,Red1,225548.378,213339.51,0.754446897,MICR,2018,Red,1,Experimental
16,Red2,233068.9,220860.032,0.778541095,MICR,2018,Red,2,Experimental
17,Yellow1,654832.572,642623.704,2.129784718,MICR,2018,Yellow,1,Experimental
18,Yellow2,647791.884,635583.016,2.107227809,MICR,2018,Yellow,2,Experimental
1,BeforeA,41127.59,29878.5625,0.057116325,MICR,2019,Before,1,Before
2,BeforeB,40376.452,29127.4245,0.05475433,MICR,2019,Before,2,Before
3,BlackA,54557.178,43308.1505,0.099346406,MICR,2019,Black,1,Control
4,BlackB,56279.558,45030.5305,0.104762525,MICR,2019,Black,2,Control
5,BlueA,46366.332,35117.3045,0.073589838,MICR,2019,Blue,1,Control
6,BlueB,45480.668,34231.6405,0.070804819,MICR,2019,Blue,2,Control
7,BWA,584295.808,573046.7805,1.765138771,MICR,2019,BW,1,NA
8,BWB,577428.634,566179.6065,1.743544563,MICR,2019,BW,2,NA
9,GreenA,71124.748,59875.7205,0.151444044,MICR,2019,Green,1,Control
10,GreenB,61384.124,50135.0965,0.120814114,MICR,2019,Green,2,Control
11,LBlueA,282453.048,271204.0205,0.815977549,MICR,2019,Lblue,1,NA
12,LBlueB,258459.454,247210.4265,0.740528369,MICR,2019,Lblue,2,NA
13,OrangeA,100457.976,89208.9485,0.243683999,MICR,2019,Orange,1,Experimental
14,OrangeB,94163.29,82914.2625,0.223890011,MICR,2019,Orange,2,Experimental
15,PinkA,254121.592,242872.5645,0.726887722,MICR,2019,Pink,1,Experimental
16,PinkB,246212.14,234963.1125,0.702016014,MICR,2019,Pink,2,Experimental
17,PurpleA,87835.288,76586.2605,0.20399126,MICR,2019,Purple,1,Control
18,PurpleB,82961.6,71712.5725,0.188665679,MICR,2019,Purple,2,Control
19,YellowA,478967.114,467718.0865,1.433926878,MICR,2019,Yellow,1,Experimental
20,YellowB,496945.69,485696.6625,1.490461503,MICR,2019,Yellow,2,Experimental
