ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
300_137,ABUR,10,1,B,2016-06-24,1.6,1.03,0.02,-22.4,0.19,10.8,2.05,0.55,1.38,0.61,0.05,0.4,2.24,0.09,0.2,0.65,0.11,0.13
300_138,ABUR,10,2,B,2016-06-24,1.77,1.49,0.02,-22.08,0.17,14.48,0.53,0.09,0.4,0.12,,0.14,3.39,0.04,0.26,1.13,0.15,0.15
300_139,ABUR,20,1,T,2016-06-29,1.69,4.87,0.042,-23.85,0.46,10.95,0.84,0.39,0.53,0.3,0.01,0.13,1.76,0.03,0.16,0.36,0.13,0.14
300_140,ABUR,20,2,T,2016-06-29,1.26,6.4,0.043,-22.58,0.42,9.77,1.2,0.5,0.83,0.34,0.02,0.16,2.45,0.07,0.14,0.29,0.12,0.13
300_141,ABUR,20,1,B,2016-06-29,2.65,4.68,0.067,-23.76,0.98,14.63,1.47,1.44,0.88,0.57,0.02,0.18,1.55,0.04,0.12,0.23,0.07,0.13
300_142,ABUR,20,2,B,2016-06-29,2.16,4.82,0.056,-23.97,0.76,13.57,2.36,1.8,1.47,0.85,0.04,0.28,1.72,0.05,0.12,0.2,0.14,0.17
300_143,MOHK,10,1,T,2016-06-29,0.79,3.13,0.024,-20.37,0.12,5,0.11,0.01,0.09,0.02,,0.12,3.65,,1.08,3.35,,0.28
300_144,MOHK,10,2,T,2016-06-29,0.69,9.41,0.023,-19.54,0.14,6.09,0.09,0.01,0.08,0.02,,0.11,5.01,,1.11,3.58,,
300_145,MOHK,10,1,B,2016-06-29,0.9,1.1,0.02,-22.55,0.11,5.5,0.13,0.01,0.11,0.02,,0.11,4.51,,0.83,3.38,,0.31
300_146,MOHK,10,2,B,2016-06-29,1.05,3.83,0.03,-22.79,0.26,8.67,0.09,0.02,0.07,0.02,,0.06,4.54,0.14,0.64,2.62,0.29,0.35
300_147,MOHK,20,1,T,2016-06-29,1.76,4.81,0.04,-23.14,0.53,13.25,1.6,0.85,1.14,0.45,0.01,0.18,2.51,0.02,0.11,0.2,0.13,0.12
300_148,MOHK,20,2,T,2016-06-29,1.68,5.15,0.05,-23.2,0.56,11.2,0.92,0.51,0.58,0.32,0.01,0.13,1.8,0.04,0.15,0.32,0.17,0.17
300_149,MOHK,20,1,B,2016-06-29,1.86,5.62,0.05,-23.38,0.66,13.2,1.24,0.82,0.86,0.35,0.02,0.18,2.44,0.06,0.15,0.3,0.15,0.14
300_150,MOHK,20,2,B,2016-06-29,2.21,5.43,0.06,-23.75,0.78,13,1.27,0.99,0.88,0.38,0.01,0.13,2.31,0.04,0.1,0.24,0.14,0.15
300_151,MICR,10,1,T,2016-06-29,1.08,5.39,0.03,-23.84,0.34,11.33,0.86,0.29,0.59,0.26,0.01,0.15,2.28,0.04,0.18,0.4,0.19,0.18
300_152,MICR,10,2,T,2016-06-29,1.06,5.63,0.03,-23.87,0.36,12,1.44,0.52,0.92,0.49,0.03,0.26,1.88,0.07,0.18,0.29,0.14,0.16
300_153,MICR,10,1,B,2016-06-29,0.99,5.79,0.03,-24.19,0.34,11.33,0.95,0.32,0.63,0.3,0.02,0.16,2.13,0.05,0.17,0.39,0.14,0.19
300_154,MICR,10,2,B,2016-06-29,1.35,5.15,0.03,-24.26,0.47,15.67,1.32,0.62,0.89,0.4,0.02,0.18,2.21,0.05,0.14,0.33,0.13,0.2
300_155,MICR,20,1,T,2016-06-29,1.32,6.86,0.03,-22.37,0.28,9.33,0.48,0.14,0.31,0.16,0.01,0.12,1.91,0.06,0.26,0.47,0.2,0.2
300_156,MICR,20,2,T,2016-06-29,1.5,6.42,0.03,-15.6,0.31,10.33,0.34,0.1,0.24,0.09,0.01,0.08,2.49,0.09,0.25,0.75,0.22,0.27
300_157,MICR,20,1,B,2016-06-29,1.8,6.02,0.05,-22.45,0.44,8.8,0.56,0.25,0.39,0.16,0.01,0.12,2.47,0.07,0.22,0.64,0.21,0.25
300_158,MICR,20,2,B,2016-06-29,1.52,6.68,0.05,-22.29,0.4,8,0.6,0.24,0.43,0.16,0.01,0.12,2.7,0.07,0.2,0.55,0.18,0.27
200_159,ABUR E,,1,T,2016-06-30,0.47,4.21,0.02,-23.4,0.11,5.5,3.84,0.42,2.94,0.78,0.12,0.2,3.76,0.15,0.06,0.09,0.1,0.24
200_160,ABUR E,,1,B,2016-06-30,0.34,5.26,0.01,-22.49,0.09,9,0.55,0.05,0.4,0.13,0.02,0.25,3.14,0.19,0.47,0.68,0.18,0.35
200_161,ABUR E,,2,T,2016-06-30,0.78,6.56,0.02,-24.99,0.24,12,6.01,1.44,4.17,1.55,0.29,0.54,2.69,0.19,0.1,0.06,0.08,0.19
200_162,ABUR E,,2,B,2016-06-30,0.52,6.58,0.02,-24.96,0.15,7.5,2.9,0.44,2.08,0.58,0.25,0.49,3.61,0.43,0.19,0.11,0.09,0.3
200_163,ABUR E,,3,T,2016-06-30,6.52,5.26,0.19,-26.49,2.25,11.84,3.14,7.07,1.92,0.96,0.27,0.6,2.01,0.28,0.21,0.08,0.14,0.43
200_164,ABUR E,,3,B,2016-06-30,3.77,4.59,0.1,-26.03,1.3,13,7.33,9.53,5.32,1.58,0.44,0.68,3.37,0.28,0.1,0.09,0.21,0.62
200_165,GOSL,,1,T,2016-07-02,1.89,5.76,0.03,-23.47,0.45,15,0.72,0.32,0.46,0.19,0.07,0.16,2.45,0.36,0.24,0.23,0.14,0.43
