ID,Site,Year,Depth,Core,Cumul_value_3.9um,Cumul_value_31um,Cumul_value_62.5um,Cumul_value_125um,Diameter_5perc,Diameter_7perc,Diameter_10perc,Diameter_16perc,Diameter_50perc,Diameter_84perc,Diameter_90perc,Diameter_95perc,Diameter_98perc,perc_Clay,perc_Silt,perc_Sand
300_042,MOHK,2015,10,T,1.495630562,5.566450596,8.075790882,33.87499809,26.80729103,47.36585617,75.32973862,94.00419617,149.650589,236.8345566,281.1405182,354.5465698,431.4610748,1.495630562,6.58016032,91.92420912
300_043,MOHK,2015,10,B,1.661263466,6.249086857,9.119681835,34.12499809,22.21678734,37.38308525,68.832798,91.41540909,150.805687,252.557312,315.3618622,387.3007202,458.6636658,1.661263466,7.458418369,90.88031816
300_044,MOHK,2015,10,B,1.749657631,6.513310909,9.670142174,35.55999947,21.08215523,35.46301937,64.58207321,89.2079277,147.714035,237.3934021,283.0886841,357.588028,434.5095673,1.749657631,7.920484543,90.32985783
300_045,MOHK,2015,20,T,4.136354208,18.57250595,30.41275501,70.30999756,4.890445471,7.587983131,12.01672935,24.00061798,92.31534958,160.5061569,190.3677673,252.3081818,366.484314,4.136354208,26.2764008,69.58724499
300_046,MOHK,2015,20,T,3.070157647,12.03055143,21.28082371,62.5700016,8.197178841,13.72325897,23.35618114,49.7465744,105.2916946,183.5529709,229.1480484,315.0942535,413.2935638,3.070157647,18.21066606,78.71917629
300_047,MOHK,2015,20,B,4.628260136,21.21168423,33.51671982,68.02499771,4.338742375,6.490947008,10.13860178,19.72157717,91.62076187,177.2200317,228.5481339,321.3813171,418.1264191,4.628260136,28.88845968,66.48328018
300_048,MOHK,2015,20,B,4.337937117,18.91709995,29.08289051,64.86499786,4.57939291,6.996857882,10.96199179,22.71470356,99.33476257,176.993927,213.5273132,288.7750244,391.1185608,4.337937117,24.74495339,70.91710949
300_049,GOLB,2015,10,T,2.172373295,8.69771862,16.76278782,62.21500015,14.86597204,22.60917282,43.67621613,60.919384,106.3858414,186.4372482,237.1370163,328.5099182,420.642334,2.172373295,14.59041452,83.23721218
300_050,GOLB,2015,10,T,2.413872957,9.478199005,17.6274128,57.86000061,12.50657701,20.0984621,36.04312134,59.08122253,111.1493263,220.7405853,297.1289215,379.9863281,454.8358917,2.413872957,15.21353984,82.3725872
300_051,GOLB,2015,10,B,2.778535724,10.93037176,21.87405586,63.47999954,10.11368275,17.01074123,26.8509531,51.51851273,101.7432175,198.9921417,267.8797302,360.7429962,442.9573059,2.778535724,19.09552014,78.12594414
300_052,GOLB,2015,10,B,3.551859021,13.84134722,26.15869999,67.93499756,6.611403704,11.19530725,18.99911976,40.7799015,94.41287231,180.8279343,242.996666,342.4969482,430.9388275,3.551859021,22.60684097,73.84130001
300_053,GOLB,2015,20,T,3.371392012,13.65457726,23.12715054,55.95999908,6.737301826,10.80370092,18.44256878,41.09658623,114.1661224,193.2483063,225.6777649,278.5139618,363.6545563,3.371392012,19.75575852,76.87284946
300_054,GOLB,2015,20,T,3.492116451,14.12158489,22.83074665,52.82500076,6.482925653,10.34014082,17.60234118,39.56453991,119.6522331,201.87854,236.0961075,293.9232941,383.0668488,3.492116451,19.3386302,77.16925335
300_055,GOLB,2015,20,B,3.596117496,15.14727831,27.34595585,61.70499992,6.113739729,9.850410938,16.52184486,33.92480278,102.9175224,183.163353,214.1754074,266.9229736,352.2977905,3.596117496,23.74983835,72.65404415
300_056,GOLB,2015,20,B,3.978833079,15.8095274,25.91799068,55.93999863,5.222616911,8.36634016,13.86109877,31.69626045,113.4756355,195.6156845,228.9214706,282.7331543,368.271286,3.978833079,21.93915761,74.08200932
300_057,MICR,2015,10,T,5.063848257,25.41389847,47.63695526,68.68999863,3.864959478,5.845512629,9.311748028,16.7124033,66.21867943,324.312973,378.086731,439.5549927,485.6008911,5.063848257,42.573107,52.36304474
300_058,MICR,2015,10,T,4.160538435,21.62801075,40.09668922,57.51499939,4.87063694,7.587330103,11.76716614,21.08553123,84.52695465,369.0942688,412.2226563,462.5722351,495.6890717,4.160538435,35.93615079,59.90331078
300_059,MICR,2015,10,B,7.058681726,36.35341263,61.23107147,80.53499985,2.850883245,3.868958712,5.80966115,10.2365551,47.67955399,229.871048,327.5243835,402.9299774,469.0046539,7.058681726,54.17238975,38.76892853
300_060,MICR,2015,10,B,7.919215441,44.08771896,75.01462936,98.25999832,2.603451729,3.449766159,5.019764423,8.745577812,36.75849152,75.16977692,87.57590866,103.8796921,122.8372078,7.919215441,67.09541392,24.98537064
300_061,MICR,2015,20,T,15.1561532,56.66274643,72.2888298,79.31499863,1.62357384,2.06036675,2.693157673,4.184120178,22.46992207,157.1149979,222.7263794,317.8018951,411.059433,15.1561532,57.1326766,27.7111702
300_062,MICR,2015,20,T,11.78764439,45.35599709,59.60909653,71.14500046,1.987694561,2.530017257,3.430490494,5.846455812,44.02585125,190.6007156,242.4133453,301.5629349,361.5848236,11.78764439,47.82145214,40.39090347
300_063,MICR,2015,20,B,15.80534363,59.18981743,75.2885437,83.25500107,1.63911593,2.03431046,2.615087271,3.948530793,18.33826542,130.210701,178.1083374,249.7603989,353.4923706,15.80534363,59.48320007,24.7114563
